==19== NVPROF is profiling process 19, command: python3 /gnns/pyGAT/test.py --pkl_file trained-model.pkl
==19== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==19== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==19== Profiling application: python3 /gnns/pyGAT/test.py --pkl_file trained-model.pkl
==19== Profiling result:
==19== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","sgemm_32x32x32_NN_vec",8,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void cub::DeviceScanKernel<cub::AgentScanPolicy<int=128, int=15, long, cub::BlockLoadAlgorithm, cub::CacheLoadModifier, cub::BlockStoreAlgorithm, cub::BlockScanAlgorithm, cub::MemBoundScaling<int=128, int=15, long>>, long*, long*, cub::ScanTileState<long, bool=1>, std::plus<long>, cub::NullType, int>(int=15, long, cub::BlockLoadAlgorithm, int, cub::CacheLoadModifier, cub::BlockStoreAlgorithm, cub::BlockScanAlgorithm)",9,"dram_read_transactions","Device Memory Read Transactions",1004,1041,1025
"GeForce GTX 1080 Ti (0)","void cub::DeviceScanKernel<cub::AgentScanPolicy<int=128, int=15, long, cub::BlockLoadAlgorithm, cub::CacheLoadModifier, cub::BlockStoreAlgorithm, cub::BlockScanAlgorithm, cub::MemBoundScaling<int=128, int=15, long>>, long*, long*, cub::ScanTileState<long, bool=1>, std::plus<long>, cub::NullType, int>(int=15, long, cub::BlockLoadAlgorithm, int, cub::CacheLoadModifier, cub::BlockStoreAlgorithm, cub::BlockScanAlgorithm)",9,"dram_write_transactions","Device Memory Write Transactions",0,1154,530
"GeForce GTX 1080 Ti (0)","void cub::DeviceScanKernel<cub::AgentScanPolicy<int=128, int=15, long, cub::BlockLoadAlgorithm, cub::CacheLoadModifier, cub::BlockStoreAlgorithm, cub::BlockScanAlgorithm, cub::MemBoundScaling<int=128, int=15, long>>, long*, long*, cub::ScanTileState<long, bool=1>, std::plus<long>, cub::NullType, int>(int=15, long, cub::BlockLoadAlgorithm, int, cub::CacheLoadModifier, cub::BlockStoreAlgorithm, cub::BlockScanAlgorithm)",9,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void cub::DeviceScanKernel<cub::AgentScanPolicy<int=128, int=15, long, cub::BlockLoadAlgorithm, cub::CacheLoadModifier, cub::BlockStoreAlgorithm, cub::BlockScanAlgorithm, cub::MemBoundScaling<int=128, int=15, long>>, long*, long*, cub::ScanTileState<long, bool=1>, std::plus<long>, cub::NullType, int>(int=15, long, cub::BlockLoadAlgorithm, int, cub::CacheLoadModifier, cub::BlockStoreAlgorithm, cub::BlockScanAlgorithm)",9,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void cub::DeviceScanKernel<cub::AgentScanPolicy<int=128, int=15, long, cub::BlockLoadAlgorithm, cub::CacheLoadModifier, cub::BlockStoreAlgorithm, cub::BlockScanAlgorithm, cub::MemBoundScaling<int=128, int=15, long>>, long*, long*, cub::ScanTileState<long, bool=1>, std::plus<long>, cub::NullType, int>(int=15, long, cub::BlockLoadAlgorithm, int, cub::CacheLoadModifier, cub::BlockStoreAlgorithm, cub::BlockScanAlgorithm)",9,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE0_clEvENKUlvE10_clEvEUllE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjESC_NS0_6memory15LoadWithoutCastENSD_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_",18,"dram_read_transactions","Device Memory Read Transactions",238,251,245
"GeForce GTX 1080 Ti (0)","_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE0_clEvENKUlvE10_clEvEUllE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjESC_NS0_6memory15LoadWithoutCastENSD_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_",18,"dram_write_transactions","Device Memory Write Transactions",0,918,443
"GeForce GTX 1080 Ti (0)","_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE0_clEvENKUlvE10_clEvEUllE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjESC_NS0_6memory15LoadWithoutCastENSD_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_",18,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE0_clEvENKUlvE10_clEvEUllE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjESC_NS0_6memory15LoadWithoutCastENSD_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_",18,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
